Author_id,Name
1,(None)
2,A A Milne
3,A E Van Vogt
4,A First Book
5,A Oswald
6,A Redemptorist Pastoral Publication
7,A'Lelia Bundles
8,A. A. Attanasio
9,A. A. Fair
10,A. A. Milne
11,A. Alvarez
12,A. B. C. Whipple
13,A. B. Guthrie Jr.
14,A. C. Bhaktivedanta Swami Prabhupada
15,A. C. Bhaktivedanta Swami Prabhupâda
16,A. C. Crispin
17,A. D. Hunt
18,A. Delaney
19,A. E. Parker
20,A. Elizabeth Delany
21,A. Grove Day
22,A. J Mcclane
23,A. J. Hill
24,A. J. Holt
25,A. J. Orde
26,A. J. Russell
27,A. Jay Abrams
28,A. L. Haskett
29,A. L. Kennedy
30,A. Lyons
31,A. M. Monson
32,A. Manette Ansay
33,A. Mousnier-Lompré
34,A. N. Roquelaure
35,A. R. Braunmuller
36,A. Roger Merrill
37,A. Scott Berg
38,A. V. Sellwood
39,A. Walton Litz
40,A.A. Milne
41,A.C. Bhaktivedanta
42,A.C. Crispin
43,A.E.W. Mason
44,A.G. Mojtabai
45,A.J. Jacobs
46,A.J. Wood
47,A.L. Alexander
48,A.M. Homes
49,A.R.R.R. Roberts
50,A.S.  Byatt
51,A.S. Byatt
52,A.W. Bouis
53,Aaron Allston
54,Aaron Asher
55,Aaron Copland
56,Aaron Elkins
57,Aaron J. Elkins
58,Aaron Karo
59,Aaron Mcgruder
60,Aaron Naparstek
61,Aaron Roy Even
62,Aaron T. Beck
63,Abba Eban
64,Abbas Milani
65,Abbie Zabar
66,Abbot George Burke
67,Abby Bardi
68,Abby Kanter
69,Abdullah Yusuf Ali
70,Abigail Stone
71,Abigail Van Buren
72,Abraham Verghese
73,Abraham. Verghese
74,Accuracy In Reporting
75,Acsm
76,Acton Figueroa
77,Ad Hudler
78,Adam Bagdasariam
79,Adam Barrow
80,Adam Begley
81,Adam Brate
82,Adam Braver
83,Adam Davies
84,Adam Gopnik
85,Adam Haslett
86,Adam Lee
87,Adam Mccauley
88,Adam Parkes
89,Adam Rapp
90,Adam Smith
91,Adams
92,Adams Douglas
93,Adapted Version By Alexa Villanueva
94,Adcock
95,Adela Vengana
96,Adele Ashworth
97,Adele Faber
98,Adele Griffin
99,Adele Lang
100,Adele Parks
101,Adele Ziminski
102,Adelheid Ohlig
103,Adeline Yen Mah
104,Adib Khan
105,Adobe Creative Team
106,Adobe Systems Inc
107,Adolfo Perez Esquivel
108,Adrian Ann Rapp
109,Adrian Forsyth
110,Adrian Mitchell
111,Adrian Nicole Leblanc
112,Adrian Plass
113,Adriana Hunter
114,Adriana Trigiani
115,Adrianne Blue
116,Adrianne Lee
117,Adrienne Dixon
118,Adrienne Eisen
119,Adrienne Jansen
120,Adèle Geras
121,Aeron Clement
122,Afi-Odelia E. Scruggs
123,Africa Fine
124,Agatha Christie
125,Aggie Mackenzie
126,Agnes Desarthe
127,Agnes Riedmann
128,Agnes Von Kurowsky
129,Agota Kristof
130,Agueev M
131,Ahdaf Soueif
132,Ahne
133,Ai Yazawa
134,Aidan Chambers
135,Aidan Meehan
136,Aiden W. Tozer
137,Ail
138,Aileen Paterson
139,Aimee Bender
140,Aimee Lee Ball
141,Aimee Liu
142,Aimee Thurlo
143,Aine O'Connor
144,Ainslie T. Embree
145,Aisha Ikramuddin
146,Aki Katsu
147,Akif Pirincci
148,Akif Pirinçci
149,Akihito Toda
150,Akimitsu Takagi
151,Al Andersen
152,Al Berto
153,Al Biondi
154,Al Franken
155,Al Gore
156,Al Kelly
157,Al Menconi
158,Al Roker
159,Alain Besançon
160,Alain Couprie
161,Alain De Botton
162,Alain Defossé
163,Alain Domérieux
164,Alain Duchesne
165,Alain Pierrot
166,Alain-Fournier
167,Alan (Translator) Bergman
168,Alan Aldrich
169,Alan Brennert
170,Alan Brown
171,Alan Bullock
172,Alan Cackett
173,Alan Casty
174,Alan Cober
175,Alan Cumming
176,Alan Cumyn
177,Alan Daniel
178,Alan Dean Foster
179,Alan Doelp
180,Alan Durband
181,Alan Epstein
182,Alan Fields
183,Alan Furst
184,Alan Garner
185,Alan Gibbons
186,Alan H. Cohen
187,Alan Hooker
188,Alan J. Shalleck
189,Alan Jacobson
190,Alan Kaufman
191,Alan Landsburg
192,Alan Lee
193,Alan Lelchuk
194,Alan Lightman
195,Alan M. Clark
196,Alan M. Dahms
197,Alan M. Dershowitz
198,Alan Moore
199,Alan Nakano
200,Alan Paton
201,Alan Ray
202,Alan Rich
203,Alan Russell
204,Alan Sheridan
205,Alan Spence
206,Alan Tiegreen
207,Alan Titchmarsh
208,Alan Trustman
209,Alan V. Hewat
210,Alan Vanneman
211,Alan W. Watts
212,Alan Watts
213,Alan Witschonke
214,Alanna Knight
215,Alastair Ker
216,Alastair Macneill
217,Alastair Mcneill
218,Alayne Main
219,Albert Bichler
220,Albert Camus
221,Albert Cohen
222,Albert Einstein
223,Albert Ellis
224,Albert Gilman
225,Albert Goldman
226,Albert H. Morehead
227,Albert J. Mcbride
228,Albert Mousset
229,Albert Murray
230,Albert Payson Terhune
231,Albert Schwarzenbach
232,Albert Uderzo
233,Albert Wesselski
234,Alden T
235,Aldo Leopold
236,Aldous Huxley
237,Alec Fisher
238,Alec Ross
239,Alec Waugh
240,Aleen Malcolm
241,Aleister Crowley
242,Alejandro Dumas
243,Alejandro Jodorowsky
244,Alejo Carpentier
245,Aleksandar Grujicic
246,Aleksandr Isaevich Solzhenitsyn
247,Aleksandr Solzhenitsyn
248,Aleksandr Zinoviev
249,Alesia Holliday
250,Alessandro Baricco
251,Alethea Hayter
252,Alex Beam
253,Alex Boese
254,Alex Capus
255,Alex Chadwick/ Npr
256,Alex Dingwall-Main
257,Alex Flinn
258,Alex Garland
259,Alex Haley
260,Alex Kava
261,Alex Kennedy
262,Alex Kerr
263,Alex Kershaw
264,Alex Kotlowitz
265,Alex Landragin
266,Alex Lowy
267,Alex Matthews
268,Alex Ogg
269,Alex Pate
270,Alex Trebek
271,Alexa Albert
272,Alexa Hennig Von Lange
273,Alexander C. Rae
274,Alexander English
275,Alexander Games
276,Alexander Lenard
277,Alexander Lockhart
278,Alexander Marshall
279,Alexander Mccall Smith
280,Alexander Nehamas
281,Alexander Schmitz
282,Alexander Solschenizyn
283,Alexander Solzhenitsyn
284,Alexander Trocchi
285,Alexander Vassiliev
286,Alexandra Baumrucker
287,Alexandra Blackstone
288,Alexandra Cade
289,Alexandra David-Néel
290,Alexandra Dick
291,Alexandra Fuller
292,Alexandra Lapierre
293,Alexandra M. Terzian
294,Alexandra Parsons
295,Alexandra Ripley
296,Alexandra Sellers
297,Alexandra Stoddard
298,Alexandra Styron
299,Alexandre Dumas
300,Alexandre Dumas Pã..Re
301,Alexandre Jardin
302,Alexandria Ripley
303,Alexei Panshin
